community_id,protein_id,membership_type,membership_score,topology_score,semantic_score,go_score,expansion_gain,gold_supported
0,YOR341W,inner_orbit,0.31134606646930046,0.4,0.22269213293860088,0.0,0.0,0.0
0,YPR010C,inner_orbit,0.18391085580466626,0.32,0.047821711609332525,0.0,0.0,0.0
0,YPR032W,outer_orbit,0.19578723443314988,0.24,0.15157446886629974,0.0,0.0,0.0
0,YPR110C,inner_orbit,0.40469366555354386,0.8,0.009387331107087633,0.0,0.0,1.0
0,YPR187W,inner_orbit,0.21916482467161527,0.4,0.03832964934323053,0.0,0.0,1.0
0,YPR190C,inner_orbit,0.3631909437564145,0.52,0.20638188751282896,0.0,0.0,1.0
1,YDL115C,inner_orbit,0.33458560717773517,0.5882352941176471,0.08093592023782324,0.0,0.0,0.0
1,YDL140C,inner_orbit,0.2011547453268264,0.47058823529411764,-0.06827874464046484,0.0,0.0,0.0
1,YDR390C,uncertain_orbit,0.07379556554172383,0.058823529411764705,0.08876760167168295,0.0,0.0,0.0
1,YDR404C,inner_orbit,0.29876802680870235,0.7647058823529411,-0.1671698287355364,0.0,0.0,0.0
1,YER139C,outer_orbit,0.22811371837576175,0.23529411764705882,0.22093331910446468,0.0,0.0,0.0
1,YGL070C,inner_orbit,0.2659033371520787,0.5294117647058824,0.002394909598275094,0.0,0.0,0.0
1,YGR005C,inner_orbit,0.36278982192445924,0.7647058823529411,-0.039126238504022644,0.0,0.0,0.0
1,YGR063C,inner_orbit,0.2661741221411157,0.47058823529411764,0.061760008988113686,0.0,0.0,0.0
1,YGR186W,inner_orbit,0.3755742878934719,0.6470588235294118,0.10408975225753209,0.0,0.0,0.0
1,YHL021C,uncertain_orbit,0.0015376043656052628,0.058823529411764705,-0.05574832068055418,0.0,0.0,0.0
1,YIL021W,inner_orbit,0.3211785266987175,0.7058823529411765,-0.06352529954374149,0.0,0.0,0.0
1,YJL140W,inner_orbit,0.3431390353052948,0.6470588235294118,0.03921924708117789,0.0,0.0,0.0
1,YJR072C,uncertain_orbit,-0.04224478959688421,0.058823529411764705,-0.14331310860553312,0.0,0.0,0.0
1,YML010W,inner_orbit,0.12350393071971144,0.4117647058823529,-0.16475684444293004,0.0,0.0,0.0
